rule_key,rule_label,flagged,true_positives,false_positives,precision,recall,f1
duplicate_payment,Duplicate Payment,108,108,0,1.0,1.0,1.0
split_transaction,Split Transaction,179,108,71,0.6034,0.9908,0.75
self_approval,Self Approval,126,126,0,1.0,1.0,1.0
unusual_vendor,Unusual Vendor,501,74,427,0.1477,0.8222,0.2504
large_round_amount,Large Round Amount,505,108,397,0.2139,1.0,0.3524
rapid_payment,Rapid Payment,90,90,0,1.0,1.0,1.0
suspicious_description,Suspicious Description,147,108,39,0.7347,1.0,0.8471
rare_account_usage,Rare Account Usage,54,54,0,1.0,1.0,1.0
weekend_posting,Weekend / Holiday Posting,765,126,639,0.1647,1.0,0.2828
